,Naming,Table,Column,DataType,ValueType,Formula,Hidden
129,Snapshot_Measures[s_Sales5_totalMonthly],Snapshot_Measures,s_Sales5_totalMonthly,int64,measure,"
var dateMax = MAX(SFR_Sales[ZECUDateKey])
var dateMin = MIN('Calendar'[Date])
var selected_dealers = VALUES(Dealers[DealerCode])
var selected_models = VALUES('Models'[Model])
var selected_leadSources = VALUES('LeadSource'[LeadSource-Country])
var selected_country = VALUES('Country'[Country])
return CALCULATE( [s_Sales2_new], 
                    ALL(SFR_Sales), 
                    SFR_Sales[saleModel] in selected_models,                    
                    OR( SFR_Sales[saleDealer] in selected_dealers, NOT ISFILTERED(Dealers[ShortName]) ),
                    SFR_Sales[LeadSource-Country] in selected_leadSources,
                    SFR_Sales[Country] in selected_country,
                    SFR_Sales[ZECUDateKey] >= dateMin,
                    SFR_Sales[ZECUDateKey] <= dateMax )

                    ",0.0
130,SFR_Sales[saleModel],SFR_Sales,saleModel,string,tableColumn,,0.0
131,SFR_Sales[saleDealer],SFR_Sales,saleDealer,string,tableColumn,,0.0
132,SFR_Sales[Country],SFR_Sales,Country,string,tableColumn,,0.0
133,SFR_Sales[LeadSource-Country],SFR_Sales,LeadSource-Country,string,calculated,"SFR_Sales[LeadSource] & ""-"" & SFR_Sales[Country]",0.0
134,SFR_Sales[LeadSource],SFR_Sales,LeadSource,string,tableColumn,,0.0
135,Snapshot_Measures[s_Sales6_totalMonthly_Retail],Snapshot_Measures,s_Sales6_totalMonthly_Retail,int64,measure,"
var dateMax = MAX(SFR_Sales[ZECUDateKey])
var dateMin = MIN('Calendar'[Date])
var selected_dealers = VALUES(Dealers[DealerCode])
var selected_models = VALUES('Models'[Model])
var selected_leadSources = VALUES('LeadSource'[LeadSource-Country])
var selected_country = VALUES('Country'[Country])
return CALCULATE( [s_Sales1_retail], 
                    ALL(SFR_Sales), 
                    SFR_Sales[saleModel] in selected_models,                    
                    OR( SFR_Sales[saleDealer] in selected_dealers, NOT ISFILTERED(Dealers[ShortName]) ),
                    SFR_Sales[LeadSource-Country] in selected_leadSources,
                    SFR_Sales[Country] in selected_country,
                    SFR_Sales[ZECUDateKey] >= dateMin,
                    SFR_Sales[ZECUDateKey] <= dateMax )

                    
",0.0
136,SFR_Sales[IsRetail_Display],SFR_Sales,IsRetail_Display,string,calculated,"IF( SFR_Sales[IsRetailSale], ""Retail Sale"", ""Others"" )",0.0
137,Stages Combo[From],Stages Combo,From,string,tableColumn,,0.0
138,Stages Combo[To],Stages Combo,To,string,tableColumn,,0.0
139,Stages Combo[Counts],Stages Combo,Counts,int64,measure,"
var fromNode = MAX('Stages Combo'[From])
var toNode = MAX('Stages Combo'[To])

var Lead_TDS = CALCULATE( [f_TDS1_new], SFR_TDS[hasLead] )
var Lead_Quotation = CALCULATE( [f_Quotes1_new], SFR_Quotes[hasLead], NOT( SFR_Quotes[hasTDS] ) )
var Lead_Order = CALCULATE( [f_Orders1_new], SFR_Orders[hasLead], NOT( SFR_Orders[hasTDS] ), NOT( SFR_Orders[hasQuote]) )
var Lead_Sale = CALCULATE( [f_Sales1_new], SFR_Sales[hasLead], NOT( SFR_Sales[hasTDS] ), NOT( SFR_Sales[hasQuote]), NOT( SFR_Sales[hasOrder] ) )

var TDS_Quotation = CALCULATE( [f_Quotes1_new], SFR_Quotes[hasTDS] )
var TDS_Order = CALCULATE( [f_Orders1_new], SFR_Orders[hasTDS], NOT( SFR_Orders[hasQuote]) )
var TDS_Sale = CALCULATE( [f_Sales1_new], SFR_Sales[hasTDS], NOT( SFR_Sales[hasQuote]), NOT( SFR_Sales[hasOrder] ) )

var Quotation_Order = CALCULATE( [f_Orders1_new], SFR_Orders[hasQuote] )
var Quotation_Sale = CALCULATE( [f_Sales1_new], SFR_Sales[hasQuote], NOT( SFR_Sales[hasOrder] ) )

var Order_Sale = CALCULATE( [f_Sales1_new], SFR_Sales[hasOrder] )

return SWITCH( fromNode, ""Lead"", SWITCH( toNode, ""TDS"", Lead_TDS,
                                                ""Quotation"", Lead_Quotation,
                                                ""Sale"", Lead_Order),
                        ""TDS"", SWITCH( toNode, ""Quotation"", TDS_Quotation,
                                                ""Order"", TDS_Order,
                                                ""Sale"", TDS_Sale ),
                        ""Quotation"", SWITCH( toNode, ""Order"", Quotation_Order,
                                                    ""Sale"", Quotation_Sale ),
                        ""Order"", SWITCH( toNode, ""Sale"", Order_Sale ))",0.0
140,SFR_Orders[int_OrdDate],SFR_Orders,int_OrdDate,string,tableColumn,,0.0
141,SFR_Quotes[int_QuoDate],SFR_Quotes,int_QuoDate,string,tableColumn,,0.0
142,SFR_TDS[int_TestDriveBookedFromDateKey],SFR_TDS,int_TestDriveBookedFromDateKey,string,tableColumn,,0.0
143,SFR_Sales[int_ZECUDateKey],SFR_Sales,int_ZECUDateKey,string,tableColumn,,0.0
144,SFR_Orders[quoteModel],SFR_Orders,quoteModel,string,tableColumn,,0.0
145,SFR_Quotes[quoteModel],SFR_Quotes,quoteModel,string,tableColumn,,0.0
146,SFR_TDS[tdsModel],SFR_TDS,tdsModel,string,tableColumn,,0.0
147,SFR_Orders[Country],SFR_Orders,Country,string,tableColumn,,0.0
148,SFR_Quotes[Country],SFR_Quotes,Country,string,tableColumn,,0.0
149,SFR_TDS[Country],SFR_TDS,Country,string,tableColumn,,0.0
150,Dealers[Country],Dealers,Country,string,tableColumn,,0.0
151,LeadSource[Country],LeadSource,Country,string,calculatedTableColumn,"DISTINCT ( SELECTCOLUMNS( SFR_Leads, 
                            ""LeadSource"", SFR_Leads[LeadSource],
                            ""Country"", SFR_Leads[Country],
                            ""LeadSource-Country"", SFR_Leads[LeadSource] & ""-"" & SFR_Leads[Country])
                        )",0.0
152,SFR_Orders[LeadSource-Country],SFR_Orders,LeadSource-Country,string,calculated,"SFR_Orders[LeadSource] & ""-"" & SFR_Orders[Country]",0.0
153,SFR_Orders[LeadSource],SFR_Orders,LeadSource,string,tableColumn,,0.0
154,SFR_Quotes[LeadSource-Country],SFR_Quotes,LeadSource-Country,string,calculated,"SFR_Quotes[LeadSource] & ""-"" & SFR_Quotes[Country]",0.0
155,SFR_Quotes[LeadSource],SFR_Quotes,LeadSource,string,tableColumn,,0.0
156,SFR_TDS[LeadSource-Country],SFR_TDS,LeadSource-Country,string,calculated,"SFR_TDS[LeadSource] & ""-"" & SFR_TDS[Country]",0.0
157,SFR_TDS[LeadSource],SFR_TDS,LeadSource,string,tableColumn,,0.0
158,SFR_Orders[quoteDealer],SFR_Orders,quoteDealer,string,tableColumn,,0.0
159,SFR_Quotes[quoteDealer],SFR_Quotes,quoteDealer,string,tableColumn,,0.0
160,SFR_TDS[tdsDealer],SFR_TDS,tdsDealer,double,tableColumn,,0.0
